Occupation,Male Median Salary,Female Median Salary,Amount More Men Earn,Percent More Men Earn
Legal occupations,"$119,444","$75,140","$44,304",59%
"Natural resources, construction, and maintenance occupations","$50,908","$36,400","$14,508",40%
"Management, professional, and related occupations","$89,752","$66,768","$22,984",34%
Professional and related occupations,"$85,644","$63,908","$21,736",34%
Protective service occupations,"$57,512","$43,420","$14,092",32%
